capture_index,filename,capture_time,image_stamp_sec,image_stamp_nanosec,mode,layer_index,x,y,z,yaw_rad,yaw_deg,tilt_deg
61,waypoint_000061.jpg,2026-07-18T19:01:56.563,148,864000000,layer_scan_L3,2,9.05873966217041,1.8013306856155396,-4.005180358886719,2.0962711201952686,120.1074879023502,-40.0
62,waypoint_000062.jpg,2026-07-18T19:01:57.910,150,184000000,layer_scan_L3,2,10.840167999267578,2.7182323932647705,-4.007080078125,2.280362029286178,130.65512003998586,-40.0
63,waypoint_000063.jpg,2026-07-18T19:01:59.283,151,540000000,layer_scan_L3,2,12.463809967041016,3.917855978012085,-4.002788543701172,2.4644529383770877,141.20275217762148,-40.0
64,waypoint_000064.jpg,2026-07-18T19:02:00.618,152,860000000,layer_scan_L3,2,13.82288646697998,5.420689582824707,-4.007205963134766,2.648543847467997,151.75038431525712,-40.0
65,waypoint_000065.jpg,2026-07-18T19:02:01.979,154,212000000,layer_scan_L3,2,14.862499237060547,7.168644428253174,-3.9984283447265625,2.8326347565589067,162.29801645289274,-40.0
66,waypoint_000066.jpg,2026-07-18T19:02:03.337,155,532000000,layer_scan_L3,2,15.590267181396484,9.017240524291992,-3.9993438720703125,3.016725665649816,172.84564859052836,-40.0
67,waypoint_000067.jpg,2026-07-18T19:02:04.682,156,884000000,layer_scan_L3,2,15.94320297241211,11.03474235534668,-4.003078460693359,-3.082368732438862,-176.60671927183606,-40.0
68,waypoint_000068.jpg,2026-07-18T19:02:06.017,158,204000000,layer_scan_L3,2,15.913126945495605,13.073627471923828,-4.005535125732422,-2.8982778233479527,-166.05908713420044,-40.0
69,waypoint_000069.jpg,2026-07-18T19:02:07.386,159,556000000,layer_scan_L3,2,15.528582572937012,15.049586296081543,-4.007282257080078,-2.714186914257043,-155.51145499656482,-40.0
70,waypoint_000070.jpg,2026-07-18T19:02:08.728,160,876000000,layer_scan_L3,2,14.786666870117188,16.91344451904297,-3.9995346069335938,-2.5300960051661336,-144.96382285892918,-40.0
71,waypoint_000071.jpg,2026-07-18T19:02:10.065,162,196000000,layer_scan_L3,2,13.726310729980469,18.623077392578125,-3.9967498779296875,-2.346005096075224,-134.41619072129356,-40.0
72,waypoint_000072.jpg,2026-07-18T19:02:11.444,163,552000000,layer_scan_L3,2,12.408434867858887,20.085784912109375,-3.9975242614746094,-2.1619141869843146,-123.86855858365792,-40.0
73,waypoint_000073.jpg,2026-07-18T19:02:12.807,164,872000000,layer_scan_L3,2,10.773048400878906,21.317419052124023,-3.9954681396484375,-1.977823277893405,-113.32092644602228,-40.0
74,waypoint_000074.jpg,2026-07-18T19:02:14.140,166,192000000,layer_scan_L3,2,8.9767484664917,22.203649520874023,-4.002651214599609,-1.7937323688024955,-102.77329430838665,-40.0
75,waypoint_000075.jpg,2026-07-18T19:02:15.471,167,512000000,layer_scan_L3,2,7.02923583984375,22.769527435302734,-4.009716033935547,-1.6096414597115862,-92.22566217075102,-40.0
76,waypoint_000076.jpg,2026-07-18T19:02:16.817,168,864000000,layer_scan_L3,2,5.012121200561523,22.96491241455078,-4.00848388671875,-1.4255505506206767,-81.67803003311539,-40.0
77,waypoint_000077.jpg,2026-07-18T19:02:18.163,170,184000000,layer_scan_L3,2,3.0035181045532227,22.785219192504883,-3.999847412109375,-1.2414596415297672,-71.13039789547976,-40.0
78,waypoint_000078.jpg,2026-07-18T19:02:19.539,171,536000000,layer_scan_L3,2,1.0248078107833862,22.240686416625977,-3.995441436767578,-1.0573687324388574,-60.58276575784411,-40.0
79,waypoint_000079.jpg,2026-07-18T19:02:20.870,172,856000000,layer_scan_L3,2,-0.7251451015472412,21.336040496826172,-3.990001678466797,-0.873277823347948,-50.035133620208484,-40.0
80,waypoint_000080.jpg,2026-07-18T19:02:22.222,174,176000000,layer_scan_L3,2,-2.353257894515991,20.135299682617188,-4.003299713134766,-0.6891869142570385,-39.487501482572846,-40.0
81,waypoint_000081.jpg,2026-07-18T19:02:23.592,175,528000000,layer_scan_L3,2,-3.7239460945129395,18.673030853271484,-4.009796142578125,-0.5050960051661288,-28.93986934493721,-40.0
82,waypoint_000082.jpg,2026-07-18T19:02:24.948,176,848000000,layer_scan_L3,2,-4.768754959106445,16.953813552856445,-3.9991073608398438,-0.32100509607521943,-18.39223720730158,-40.0
83,waypoint_000083.jpg,2026-07-18T19:02:26.304,178,204000000,layer_scan_L3,2,-5.505361080169678,15.097352027893066,-4.006534576416016,-0.13691418698430985,-7.844605069665943,-40.0
84,waypoint_000084.jpg,2026-07-18T19:02:27.629,179,524000000,layer_scan_L3,2,-5.9054484367370605,13.093324661254883,-3.9956130981445312,0.04717672210659966,2.7030270679696904,-40.0
85,waypoint_000085.jpg,2026-07-18T19:02:28.967,180,844000000,layer_scan_L3,2,-5.939470291137695,11.066819190979004,-4.000728607177734,0.23126763119750907,13.250659205605318,-40.0
86,waypoint_000086.jpg,2026-07-18T19:02:30.312,182,164000000,layer_scan_L3,2,-5.568692207336426,9.106738090515137,-4.004852294921875,0.4153585402884187,23.798291343240955,-40.0
87,waypoint_000087.jpg,2026-07-18T19:02:31.678,183,516000000,layer_scan_L3,2,-4.8536481857299805,7.219438552856445,-4.0087738037109375,0.5994494493793282,34.34592348087659,-40.0
88,waypoint_000088.jpg,2026-07-18T19:02:33.043,184,868000000,layer_scan_L3,2,-3.803213119506836,5.504954814910889,-4.004066467285156,0.7835403584702378,44.89355561851223,-40.0
89,waypoint_000089.jpg,2026-07-18T19:02:34.379,186,188000000,layer_scan_L3,2,-2.464425563812256,3.970294952392578,-3.999134063720703,0.9676312675611473,55.44118775614786,-40.0
90,waypoint_000090.jpg,2026-07-18T19:02:35.716,187,508000000,layer_scan_L3,2,-0.8509858846664429,2.742985248565674,-3.986255645751953,1.151722176652057,65.9888198937835,-40.0
91,waypoint_000091.jpg,2026-07-18T19:02:38.958,190,708000000,pedestal_point_1,-1,0.027757961302995682,-0.06545653194189072,-3.7130165100097656,1.1758165747407208,67.36932721417202,-35.0
92,waypoint_000092.jpg,2026-07-18T19:02:39.985,191,732000000,pedestal_point_1,-1,-0.005616022739559412,0.050293900072574615,-4.176525115966797,1.1758165747407208,67.36932721417202,-35.0
93,waypoint_000093.jpg,2026-07-18T19:02:40.959,192,688000000,pedestal_point_1,-1,0.017239317297935486,0.10906492918729782,-4.709499359130859,1.1758165747407208,67.36932721417202,-35.0
94,waypoint_000094.jpg,2026-07-18T19:02:41.963,193,680000000,pedestal_point_1,-1,0.0011582751758396626,0.14403337240219116,-5.287620544433594,1.1758165747407208,67.36932721417202,-35.0
95,waypoint_000095.jpg,2026-07-18T19:02:43.021,194,704000000,pedestal_point_1,-1,-0.002088162349537015,0.14431218802928925,-5.8635101318359375,1.1758165747407208,67.36932721417202,-35.0
96,waypoint_000096.jpg,2026-07-18T19:02:43.997,195,660000000,pedestal_point_1,-1,0.01018985640257597,0.1076207086443901,-6.475761413574219,1.1758165747407208,67.36932721417202,-35.0
97,waypoint_000097.jpg,2026-07-18T19:02:44.965,196,648000000,pedestal_point_1,-1,-0.0005643826443701982,0.07765503972768784,-7.073955535888672,1.1758165747407208,67.36932721417202,-35.0
98,waypoint_000098.jpg,2026-07-18T19:02:45.973,197,640000000,pedestal_point_1,-1,-0.014071826823055744,0.06365952640771866,-7.527008056640625,1.1758165747407208,67.36932721417202,-35.0
99,waypoint_000099.jpg,2026-07-18T19:02:46.967,198,628000000,pedestal_point_1,-1,-0.005430484190583229,0.059101030230522156,-7.309825897216797,1.1758165747407208,67.36932721417202,-35.0
100,waypoint_000100.jpg,2026-07-18T19:02:47.973,199,620000000,pedestal_point_1,-1,0.0012528594816103578,0.0722808688879013,-6.834690093994141,1.1758165747407208,67.36932721417202,-35.0
101,waypoint_000101.jpg,2026-07-18T19:02:48.982,200,608000000,pedestal_point_1,-1,-0.01230698637664318,0.038456711918115616,-6.313991546630859,1.1758165747407208,67.36932721417202,-35.0
102,waypoint_000102.jpg,2026-07-18T19:02:49.980,201,600000000,pedestal_point_1,-1,-0.004654154181480408,0.011324597522616386,-5.723396301269531,1.1758165747407208,67.36932721417202,-35.0
103,waypoint_000103.jpg,2026-07-18T19:02:50.991,202,588000000,pedestal_point_1,-1,-0.012875616550445557,0.015400992706418037,-5.150428771972656,1.1758165747407208,67.36932721417202,-35.0
104,waypoint_000104.jpg,2026-07-18T19:02:51.962,203,548000000,pedestal_point_1,-1,-0.013160524889826775,0.027610287070274353,-4.560791015625,1.1758165747407208,67.36932721417202,-35.0
105,waypoint_000105.jpg,2026-07-18T19:02:56.461,207,968000000,pedestal_point_2,-1,16.942188262939453,7.0011444091796875,-3.7179298400878906,2.7466129015356175,157.36932721417202,-35.0
106,waypoint_000106.jpg,2026-07-18T19:02:57.493,208,992000000,pedestal_point_2,-1,16.878938674926758,6.860873222351074,-4.171199798583984,2.7466129015356175,157.36932721417202,-35.0
107,waypoint_000107.jpg,2026-07-18T19:02:58.500,209,980000000,pedestal_point_2,-1,16.865270614624023,6.862350940704346,-4.718372344970703,2.7466129015356175,157.36932721417202,-35.0
108,waypoint_000108.jpg,2026-07-18T19:02:59.459,210,940000000,pedestal_point_2,-1,16.79718017578125,6.860732555389404,-5.293327331542969,2.7466129015356175,157.36932721417202,-35.0
109,waypoint_000109.jpg,2026-07-18T19:03:00.468,211,928000000,pedestal_point_2,-1,16.756452560424805,6.867021560668945,-5.862205505371094,2.7466129015356175,157.36932721417202,-35.0
110,waypoint_000110.jpg,2026-07-18T19:03:01.459,212,920000000,pedestal_point_2,-1,16.69072914123535,6.869354248046875,-6.461116790771484,2.7466129015356175,157.36932721417202,-35.0
111,waypoint_000111.jpg,2026-07-18T19:03:02.472,213,908000000,pedestal_point_2,-1,16.73908805847168,6.900725364685059,-7.055248260498047,2.7466129015356175,157.36932721417202,-35.0
112,waypoint_000112.jpg,2026-07-18T19:03:03.470,214,900000000,pedestal_point_2,-1,16.769838333129883,6.928103923797607,-7.526435852050781,2.7466129015356175,157.36932721417202,-35.0
113,waypoint_000113.jpg,2026-07-18T19:03:04.471,215,888000000,pedestal_point_2,-1,16.80156898498535,6.926037788391113,-7.302761077880859,2.7466129015356175,157.36932721417202,-35.0
114,waypoint_000114.jpg,2026-07-18T19:03:05.478,216,880000000,pedestal_point_2,-1,16.816225051879883,6.934709072113037,-6.847145080566406,2.7466129015356175,157.36932721417202,-35.0
115,waypoint_000115.jpg,2026-07-18T19:03:06.473,217,836000000,pedestal_point_2,-1,16.845165252685547,6.959174156188965,-6.306720733642578,2.7466129015356175,157.36932721417202,-35.0
116,waypoint_000116.jpg,2026-07-18T19:03:07.492,218,860000000,pedestal_point_2,-1,16.888917922973633,6.976621150970459,-5.738147735595703,2.7466129015356175,157.36932721417202,-35.0
117,waypoint_000117.jpg,2026-07-18T19:03:08.460,219,816000000,pedestal_point_2,-1,16.919584274291992,6.954351425170898,-5.146961212158203,2.7466129015356175,157.36932721417202,-35.0
118,waypoint_000118.jpg,2026-07-18T19:03:09.469,220,804000000,pedestal_point_2,-1,16.93504524230957,6.940885543823242,-4.558780670166016,2.7466129015356175,157.36932721417202,-35.0
